Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,159,39.9,0
0.41,265,40.8,1
0.63,369,39.2,20
0.97,456,39.2,32
1.20,549,40.1,60
1.42,718,41.0,109
1.65,903,41.5,159
1.88,971,41.1,155
2.11,1049,40.4,171
2.34,1329,41.2,198
2.58,1478,40.5,216
2.81,1623,39.9,252
3.04,1718,38.9,277
3.27,1774,39.7,281
3.49,1793,44.9,226
3.72,1820,40.2,199
3.94,1916,41.0,202
4.17,2061,45.8,226
4.40,2255,41.8,297
4.62,2444,43.6,359
4.85,2529,49.3,387
5.07,2556,47.9,357
5.30,2591,43.0,373
5.53,2657,42.8,391
5.76,2746,41.9,425
5.99,2898,42.1,484
6.21,2946,40.6,474
6.44,2995,41.5,433
6.66,3073,39.3,400
6.89,3186,41.7,411
7.12,3295,41.0,425
7.38,3461,40.9,486
7.61,3688,39.6,576
7.84,3780,40.9,599
8.06,3768,41.0,607
8.29,3774,41.6,614
8.52,3830,41.7,599
8.75,3886,40.7,601
9.73,3944,39.9,554
9.96,4381,50.0,628
10.18,4507,55.0,804
10.41,4768,55.7,883
10.64,4972,40.6,847
10.86,5011,54.9,905
11.10,4994,54.2,876
11.32,5005,43.0,930
11.55,5072,43.3,998
11.78,5236,42.7,932
12.01,5335,40.4,983
12.23,5411,48.3,980
12.46,5473,40.5,908
12.69,5548,41.0,667
12.91,5654,40.3,598
13.14,5751,39.1,645
13.37,5956,41.3,738
13.60,6201,48.0,1155
13.82,6240,56.2,1156
14.08,6203,54.6,1092
14.31,6202,52.9,980
15.27,6235,49.0,1266
15.50,6661,51.7,1069
15.73,6735,41.8,777
15.95,6857,47.5,849
16.18,7001,49.5,927
16.41,7212,53.6,1194
16.63,7448,43.7,1340
16.86,7511,56.4,1379
17.08,7457,58.4,1317
17.31,7518,57.4,1256
17.55,7651,53.9,1340
17.77,7732,52.8,1357
18.00,7790,43.4,1346
18.22,7834,40.2,1433
18.45,7892,39.9,1382
18.67,7942,52.8,1129
18.91,8027,44.8,925
19.14,8162,42.8,923
19.36,8398,44.4,1051
19.60,8584,45.6,1586
19.82,8598,43.4,1492
20.05,8624,44.3,1430
20.30,8697,40.3,1556
20.53,8793,44.0,1552
20.76,8877,39.4,1480
20.99,8972,42.9,1551
21.21,9083,45.6,1563
21.44,9256,42.8,1558
21.67,9336,40.7,1160
21.90,9436,41.2,971
22.13,9546,41.3,1186
22.36,9736,39.7,1354
22.59,9897,40.4,1736
22.81,9890,42.3,1904
23.04,9933,41.4,1803
23.27,10016,42.0,1824
23.49,10109,41.0,1833
23.72,10207,43.0,1871
23.95,10288,43.3,1896
