Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,161,37.2,2731
0.43,193,41.3,46
0.66,231,24.9,51
0.95,274,38.2,34
1.18,321,34.2,10
1.41,365,25.3,34
1.64,431,34.5,52
1.87,507,40.1,84
2.10,613,40.6,106
2.33,753,39.4,112
2.56,1105,41.6,162
2.80,1186,36.4,146
3.03,1311,29.3,122
3.26,1462,24.7,167
3.49,1604,35.4,243
3.72,1810,39.7,327
3.95,1984,40.4,288
4.18,2088,28.1,294
4.41,2167,38.5,343
4.64,2280,21.8,373
4.87,2377,35.3,369
5.10,2474,25.6,338
5.33,2561,23.8,365
5.56,2730,25.9,419
5.80,2790,35.1,317
6.03,2890,35.4,297
6.26,2990,32.8,344
6.49,3094,31.2,429
6.72,3336,30.0,515
6.95,3561,21.6,528
7.18,3615,32.5,520
7.44,3614,41.3,525
7.67,3648,35.3,568
7.90,3745,34.2,601
8.13,3792,31.7,612
8.36,3968,30.7,621
8.59,4011,34.6,614
8.83,4042,27.1,459
9.06,4130,36.6,494
9.29,4230,23.3,534
9.52,4324,23.8,550
9.75,4543,23.4,698
9.98,4771,33.9,780
10.21,4801,24.6,756
10.45,4777,21.7,700
10.68,4781,22.1,694
10.91,4802,23.0,734
11.14,4853,53.4,767
11.37,5003,39.3,781
11.60,5062,38.3,781
11.83,5123,42.5,558
12.06,5250,27.3,654
12.30,5447,54.2,749
12.52,5629,39.7,850
12.76,5858,38.1,959
12.99,6081,42.7,1023
13.22,6161,44.2,1094
13.48,6177,43.7,1099
13.71,6170,32.3,1105
13.94,6143,52.3,1122
14.17,6169,48.0,1078
14.40,6221,36.4,1118
14.63,6226,35.7,1123
14.86,6243,42.6,736
15.09,6336,24.4,771
15.32,6444,52.5,877
15.55,6558,42.4,986
15.78,6783,32.5,1164
16.01,7064,30.2,1222
16.25,7146,31.8,1211
16.48,7126,40.9,1218
16.71,7158,41.6,1219
16.94,7353,41.7,1230
17.17,7478,52.3,1254
17.40,7564,58.0,1296
17.64,7575,57.1,1337
17.87,7589,58.3,1190
18.10,7669,58.4,942
18.33,7768,58.5,1120
18.56,7872,58.7,1295
18.79,8070,58.8,1509
19.05,8260,44.5,1503
19.28,8228,51.6,1487
19.51,8322,53.4,1543
19.74,8434,55.9,1676
19.97,8526,50.3,1698
20.20,8624,47.9,1720
20.44,8740,39.9,1757
20.67,8815,35.0,1735
20.90,8881,45.3,1047
21.13,8980,48.9,1146
21.36,9070,48.6,1309
21.59,9179,36.6,1451
21.82,9363,44.2,1821
22.05,9586,48.7,1903
22.28,9628,34.3,1933
22.51,9700,48.4,1960
22.75,9784,41.2,2020
22.98,9868,47.8,2051
23.20,9979,46.1,2066
23.44,10077,48.5,2058
23.67,10155,47.5,2056
23.90,10194,46.6,1741
