Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,166,41.4,438
0.41,203,44.6,-36
0.64,247,49.8,-39
0.98,288,51.2,-3
1.21,320,54.6,-6
1.44,381,36.5,0
1.67,444,25.9,31
1.90,547,23.6,155
2.13,925,23.5,256
2.36,942,24.4,250
2.59,985,24.1,231
2.82,1108,26.3,270
3.05,1237,23.5,300
3.29,1372,22.6,365
3.52,1499,22.5,421
3.74,1600,24.7,460
3.98,1690,23.9,318
4.21,1709,23.4,193
5.42,1842,47.7,545
5.65,1699,33.0,495
5.88,1547,25.7,435
6.11,1472,22.2,423
6.34,1696,31.3,507
6.57,1923,27.6,583
6.80,2153,45.6,604
7.03,2331,30.4,512
7.26,2490,49.6,324
7.49,2691,50.0,323
7.72,2870,43.0,365
7.95,3020,32.1,585
8.19,3302,29.8,967
8.44,3702,26.8,1046
8.68,3786,25.4,1100
8.91,3901,28.6,1066
9.14,4005,38.7,1123
9.37,4100,45.8,1201
9.60,4200,24.3,1155
9.83,4289,42.8,1083
10.06,4348,32.8,844
10.29,4390,29.6,539
10.52,4484,25.8,520
10.75,4575,40.9,608
10.98,5031,26.4,1001
11.22,5166,34.6,1296
11.45,5147,36.9,1437
11.68,5177,24.5,1513
11.91,5241,24.8,1537
12.14,5320,22.4,1525
12.37,5463,23.0,1547
12.61,5626,27.2,1683
12.84,5694,25.0,1544
13.07,5682,44.5,909
13.30,5678,49.0,602
13.53,5758,36.7,635
13.76,5845,47.8,793
13.99,6093,45.1,1432
14.25,6278,33.7,1840
14.48,6356,39.8,1763
14.71,6359,31.2,1824
14.94,6440,48.0,1939
15.17,6545,31.1,1963
15.40,6644,28.3,2069
15.64,6736,33.6,2143
15.87,6844,23.6,2002
16.10,6957,36.7,1205
16.33,7025,23.7,798
16.56,7162,24.3,766
16.79,7262,23.4,1038
17.02,7421,22.1,1865
17.25,7596,22.5,2265
17.48,7664,22.3,2354
17.71,7686,39.3,2362
17.94,7753,43.4,2368
18.17,7822,32.0,2402
18.41,7895,23.9,2486
18.64,7973,22.4,2290
18.87,8022,22.9,2392
19.10,8098,26.1,2428
19.33,8238,26.3,1706
19.56,8474,29.5,1008
19.82,8543,47.5,939
20.05,8602,47.1,1110
20.28,8709,52.4,1572
20.51,8839,44.8,2321
20.74,8942,32.4,2596
20.97,9054,27.6,2601
21.21,9155,42.7,2529
21.44,9241,44.8,2669
21.67,9343,43.4,2691
21.90,9433,36.3,2586
22.13,9526,43.0,2530
22.36,9706,30.0,2216
22.60,9769,33.8,1613
22.83,9818,29.7,1179
23.06,9902,42.9,1236
23.29,9984,42.0,1351
23.52,10102,29.4,1995
23.75,10238,29.4,2642
23.98,10329,27.7,2738
