cislo,delka,Q1,Q2,Q3,Q4,sirka,ctverce,teor
R1_3,500,0.4301,0.284,0.65,0.667,1000,"0,5",50
R2_3,1000,1.746,1.208,3.598,3.1,1000,1,100
R3_3,2000,6.171,7.117,10.459,7.1,1000,2,200
R4_3,3000,9.288,14.362,17.55,12.3,1000,3,300
R5_3,4000,13.623,19.46,24.505,17.3,1000,4,400
R6_3,5000,19.844,27.562,29.858,24.6,1000,5,500
R7_3,6000,24.45,27.76,37.777,30.6,1000,6,600
R8_ 3,7000,30.609,37.257,42.718,34.4,1000,7,700
R9_3,8000,35.985,44.347,46.436,38.1,1000,8,800
R10_3,9000,39.541,51.617,48.712,44.8,1000,9,900
R11_3,10000,44.362,60.407,58.775,47.9,1000,10,1000
