cislo,delka,Q1,Q2,Q3,Q4,sirka,ctverce,teor
R1_4,500,0.8031,1.117,0.782,0.883,750,"0,67","66,67"
R2_4,750,1.798,3.016,2.353,2.8,750,1,100
R3_4,1500,6.86,7.39,8.743,9.1,750,2,200
R4_4,2250,12.532,12.214,14.873,14.6,750,3,300
R5_4,3000,16.224,16.268,23.029,21.2,750,4,400
R6_4,3750,20.697,23.122,34.231,25.8,750,5,500
R7_4,4500,26.229,31.128,40.384,30.7,750,6,600
R8_4,5250,31.029,33.886,49.307,33.8,750,7,700
R9_4,6000,34.687,24.51,62.611,40.1,750,8,800
R10_4,6750,40.658,12.179,78.069,48.3,750,9,900
R11_4,7500,48.594,5.753,125.315,63.4,750,10,1000
