Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,186,28.2,1312
0.43,236,42.3,30
0.66,275,37.6,20
0.95,311,31.2,36
1.18,346,24.6,53
1.41,416,20.7,47
1.64,508,43.7,65
1.87,603,48.6,65
2.10,720,35.3,66
2.33,856,25.1,103
2.56,1138,28.3,105
2.80,1302,49.0,110
3.03,1452,47.6,128
3.26,1589,49.8,147
3.49,1704,48.9,174
3.72,1809,47.4,181
3.95,1932,45.8,187
4.18,2076,47.4,193
4.41,2216,27.0,206
4.64,2348,45.6,223
4.87,2440,27.9,221
5.10,2519,39.0,230
5.33,2604,35.0,225
5.56,2803,50.4,248
5.80,2883,28.0,259
6.03,2978,41.8,275
6.26,3058,25.1,283
6.49,3135,33.8,283
6.72,3225,35.8,282
6.95,3307,32.7,294
7.18,3401,37.9,308
7.44,3486,29.2,313
7.67,3587,36.5,315
7.90,3669,40.8,333
8.13,3753,45.7,356
8.36,3956,43.3,366
8.59,4043,45.6,399
8.83,4129,38.8,384
9.06,4195,32.8,388
9.29,4263,40.9,406
9.52,4349,37.3,397
9.75,4437,33.1,424
9.98,4513,32.6,458
10.21,4584,36.5,416
10.45,4655,37.3,427
10.68,3374,31.4,458
11.65,5248,25.8,517
11.88,5412,40.6,545
12.11,5594,43.3,558
12.34,5809,23.7,566
12.58,5922,26.9,563
12.81,5962,38.9,575
13.04,6002,24.9,582
13.27,6051,40.7,571
13.50,6083,33.7,575
13.73,6140,25.3,577
13.96,6191,23.9,599
14.22,6347,25.5,603
14.45,6434,31.5,611
14.68,6501,25.5,611
14.91,6613,23.2,642
15.14,6706,26.9,653
15.37,6783,26.4,652
15.61,6868,30.4,669
15.84,6965,27.4,692
16.07,7052,32.8,687
16.30,7147,25.6,700
16.53,7253,24.7,715
16.76,7321,31.2,706
16.99,7382,61.8,744
17.22,7632,30.1,745
17.45,7678,29.1,753
17.68,7700,35.4,738
17.92,7769,44.6,746
18.15,7858,54.8,756
18.38,7918,38.6,763
18.61,7976,46.8,765
18.84,8060,43.8,759
19.07,8131,33.4,753
19.30,7457,31.6,754
20.28,8765,30.9,798
20.51,8906,32.5,824
20.77,9031,26.4,850
21.00,9157,29.3,852
21.23,9293,26.9,871
21.46,9384,24.2,879
21.69,9465,24.7,885
21.92,9534,43.0,879
22.17,9603,50.2,916
22.41,9732,39.7,939
22.64,9837,34.2,970
22.87,9925,34.3,998
23.10,10027,28.8,1047
23.33,10137,31.0,1056
23.56,10240,29.0,1074
23.80,10306,32.4,1084
24.00,10362,32.1,1084
