Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,165,27.7,1258
0.29,241,39.0,-25
0.52,330,36.8,-42
0.74,428,33.7,-7
0.94,486,32.5,33
1.17,541,32.9,40
1.38,643,31.0,34
1.59,835,32.2,77
1.82,1069,36.1,158
2.02,1188,36.9,182
2.23,1250,28.2,174
2.46,1340,37.7,194
2.67,1463,25.2,233
2.88,1585,28.0,249
3.11,1684,39.3,281
3.31,1762,24.6,309
3.52,1844,24.5,304
3.73,1937,28.0,258
3.96,2081,23.8,257
4.17,2208,26.4,262
4.38,2337,30.5,267
4.61,2489,26.7,373
4.82,2617,23.0,457
5.02,2662,33.7,434
5.23,2705,48.7,432
5.47,2757,36.5,450
5.67,2809,27.4,497
5.88,2860,43.3,473
6.11,2954,41.3,459
6.31,3045,39.4,468
6.53,3114,40.9,478
6.73,3160,44.0,439
6.96,3249,46.1,361
7.17,3384,46.7,398
7.38,3498,46.7,418
7.61,3692,37.8,486
7.81,3946,39.4,659
8.02,4026,43.6,677
8.25,4028,42.8,648
8.46,4028,37.7,612
8.67,4055,41.4,620
8.90,4117,33.2,660
9.10,4195,46.6,662
9.31,4290,45.5,693
9.52,4327,43.9,672
9.75,4345,42.0,560
9.96,4445,43.2,476
10.16,4539,47.1,534
10.40,4658,41.9,589
10.60,4938,40.4,738
10.81,5163,42.7,852
11.04,5165,35.7,857
11.25,5119,29.1,850
11.45,5128,40.4,855
11.69,5214,24.6,852
11.89,5405,35.2,847
12.10,5499,33.9,854
12.31,5567,25.6,864
12.54,5526,29.5,829
12.75,5487,37.9,685
12.95,5563,34.2,633
13.18,5651,24.9,693
13.39,5743,30.1,702
13.60,6009,32.0,893
13.83,6283,29.7,1074
14.04,6289,45.0,1070
14.24,6241,40.3,1072
14.48,6265,25.5,1109
14.68,6314,30.5,1116
14.89,6382,35.5,1137
15.10,6467,39.9,1152
15.33,6565,22.4,1148
15.53,6663,27.7,1140
15.74,6708,37.7,1029
15.97,6795,39.6,754
16.18,6932,27.3,784
16.39,7033,42.8,869
16.62,7238,39.9,1090
16.83,7635,44.2,1402
17.03,7757,46.7,1397
17.26,7720,49.2,1377
17.47,7683,47.4,1342
17.68,7660,44.0,1309
17.89,7652,26.2,1312
18.12,7697,24.0,1331
18.33,7791,22.5,1364
18.53,7844,26.4,1356
18.76,7860,23.1,1105
18.97,7950,27.3,875
19.18,8065,24.2,1020
19.39,8185,27.5,1105
19.62,8443,24.2,1363
19.82,8766,33.4,1612
20.03,8818,37.9,1626
20.26,8771,42.1,1594
20.47,8783,29.7,1549
20.68,8844,34.1,1585
20.91,8931,30.9,1632
21.11,9018,40.2,1658
21.32,9102,46.8,1702
21.53,9176,31.4,1668
21.76,9222,41.9,1323
21.97,9326,25.8,1032
22.17,9428,34.4,1251
22.41,9524,46.7,1316
22.61,9721,27.6,1585
22.82,10005,42.2,1930
23.05,10106,37.3,1946
23.26,10091,32.4,1928
23.47,10058,26.1,1922
23.70,10079,32.5,1958
23.90,10136,21.3,1891
