Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,171,22.5,1090
0.29,281,21.4,80
0.52,363,20.5,72
0.76,479,22.9,105
0.97,700,20.4,200
1.17,792,18.5,230
1.40,916,23.3,226
1.61,1029,21.3,201
1.82,1156,19.3,131
2.05,1327,21.4,119
2.26,1443,24.1,146
2.46,1526,21.9,252
2.67,1587,22.2,462
2.90,1649,44.9,526
3.11,1759,41.8,564
3.31,1934,34.0,583
3.55,2002,37.4,551
3.76,2052,32.8,551
3.96,2167,41.6,570
4.19,2233,44.2,567
4.40,2322,24.8,598
4.61,2436,30.3,589
4.84,2490,34.1,589
5.05,2564,31.8,646
5.25,2650,45.0,587
5.46,2705,38.2,395
5.69,2800,38.0,304
5.90,2879,43.2,302
6.10,2992,33.6,410
6.33,3252,33.3,709
6.55,3364,41.1,810
6.75,3400,32.9,835
6.98,3446,30.7,833
7.19,3468,30.2,824
7.39,3513,31.9,799
7.62,3577,26.8,825
7.84,3661,22.0,854
8.05,3754,22.3,906
8.25,3796,35.4,884
8.48,3849,33.5,583
8.69,3983,28.8,427
8.90,4074,51.9,454
9.13,4174,51.9,653
9.33,4483,36.4,1017
9.55,4625,31.8,1132
9.75,4629,19.9,1153
9.98,4625,26.7,1128
10.19,4655,33.0,1115
10.40,4700,27.7,1143
10.62,4723,24.5,1197
10.84,4780,24.4,1269
11.04,4855,26.7,1251
11.25,4896,27.4,1047
11.48,4952,34.0,671
11.69,5049,32.7,525
11.89,5188,21.0,599
12.13,5417,21.8,913
12.33,5716,26.9,1395
12.54,5810,18.9,1531
12.77,5800,18.8,1624
12.98,5815,22.8,1708
13.18,5877,21.1,1685
13.40,5915,18.8,1611
13.62,5974,20.4,1548
13.83,5993,20.7,1565
14.04,6034,22.4,1655
14.27,6066,25.2,1509
14.48,6111,23.9,936
14.69,6204,20.2,697
14.92,6313,23.2,736
15.12,6434,24.7,1088
15.33,6686,26.7,1646
15.56,6876,43.3,1739
15.77,6865,51.2,1862
15.97,6924,53.0,1899
16.18,7001,32.1,2010
16.41,7092,45.9,2038
16.62,7158,23.3,2090
16.85,7254,46.3,2189
17.06,7369,40.6,2207
17.26,7461,30.9,1677
17.48,7538,36.5,961
17.70,7598,30.4,893
17.91,7656,46.0,986
18.14,7746,44.1,1572
18.35,7947,41.5,2178
18.56,8097,34.1,2162
18.79,8066,43.3,2193
19.00,8106,32.2,2197
19.20,8178,41.9,2172
19.43,8250,26.7,2230
19.64,8373,30.0,2318
19.85,8477,37.2,2312
20.08,8563,31.0,2297
20.29,8653,25.5,1860
20.49,8743,47.7,1081
20.73,8837,38.4,999
20.93,8939,38.8,1082
21.14,9044,34.9,1501
21.37,9210,26.5,2182
21.58,9342,43.3,2377
21.78,9389,31.2,2476
22.02,9458,31.2,2607
22.22,9541,36.4,2653
22.45,9638,33.3,2684
22.66,9731,22.7,2732
22.87,9838,36.4,2727
23.08,9943,37.6,2648
23.31,10115,35.5,1998
23.51,10228,32.6,1253
23.74,10237,22.8,1201
23.95,10258,26.6,1264
